ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
2004,1,1,1,0.0,112812.0
2004,1,2,1,0.0,34840.05
2004,1,3,1,0.0,274773.0
2004,1,4,1,0.0,31695.63
2004,1,5,1,0.0,1011353.04
2004,1,6,1,0.0,43084.0
2004,1,7,1,0.0,65876.62
2004,1,8,1,0.0,737033.3
2004,1,9,1,0.0,131052.0
2004,1,10,1,0.0,518714.0
2004,1,11,1,0.0,268614.11
2004,1,12,1,0.0,236448.97
2004,1,13,1,0.0,643102.49
2004,1,14,1,0.0,285489.0
2004,1,15,1,0.0,192207.02
2004,1,16,1,0.0,1444451.49
2004,1,17,1,0.0,3732811.24
2004,1,18,1,0.0,607655.14
2004,1,19,1,0.0,2612753.07
2004,1,20,1,0.0,7976304.95
2004,1,21,1,0.0,1596274.29
2004,1,22,1,0.0,1132926.27
2004,1,23,1,0.0,1780912.48
2004,1,24,1,0.0,272917.41
2004,1,25,1,0.0,292173.45
2004,1,26,1,0.0,630624.0
2004,1,27,1,0.0,311459.0
2004,2,1,1,0.0,105806.0
2004,2,2,1,0.0,33050.33
2004,2,3,1,0.0,278429.72
2004,2,4,1,0.0,30802.28
2004,2,5,1,0.0,967109.34
2004,2,6,1,0.0,28944.0
2004,2,7,1,0.0,63306.92
2004,2,8,1,0.0,694591.8
2004,2,9,1,0.0,110758.0
2004,2,10,1,0.0,469181.31
2004,2,11,1,0.0,233950.88
2004,2,12,1,0.0,226289.39
2004,2,13,1,0.0,612231.66
2004,2,14,1,0.0,266555.0
2004,2,15,1,0.0,182026.13
2004,2,16,1,0.0,1344183.83
2004,2,17,1,0.0,3582369.94
2004,2,18,1,0.0,583260.07
2004,2,19,1,0.0,2630033.87
2004,2,20,1,0.0,7919049.63
2004,2,21,1,0.0,1635576.04
2004,2,22,1,0.0,1230305.38
2004,2,23,1,0.0,1824346.44
2004,2,24,1,0.0,270613.42
2004,2,25,1,0.0,296942.39
2004,2,26,1,0.0,602529.0
2004,2,27,1,0.0,285928.0
2004,3,1,1,0.0,106668.0
2004,3,2,1,0.0,33858.03
2004,3,3,1,0.0,270420.0
2004,3,4,1,0.0,30275.52
2004,3,5,1,0.0,1022952.89
2004,3,6,1,0.0,42451.0
2004,3,7,1,0.0,67551.25
2004,3,8,1,0.0,743086.2
2004,3,9,1,0.0,112344.0
2004,3,10,1,0.0,508966.11
2004,3,11,1,0.0,257966.1
2004,3,12,1,0.0,242215.12
2004,3,13,1,0.0,658774.05
2004,3,14,1,0.0,259855.0
2004,3,15,1,0.0,195611.08
2004,3,16,1,0.0,1393925.45
2004,3,17,1,0.0,3605412.32
2004,3,18,1,0.0,599525.0
2004,3,19,1,0.0,2582060.82
2004,3,20,1,0.0,8116797.54
2004,3,21,1,0.0,1656643.76
2004,3,22,1,0.0,1300745.9
2004,3,23,1,0.0,1941380.74
2004,3,24,1,0.0,278720.54
2004,3,25,1,0.0,332886.99
