ano,mes,sigla_uf,tipo_consumo,consumo
2004,1,1,1,112812.0
2004,1,2,1,34840.05
2004,1,3,1,274773.0
2004,1,4,1,31695.63
2004,1,5,1,1011353.04
2004,1,6,1,43084.0
2004,1,7,1,65876.62
2004,1,8,1,737033.3
2004,1,9,1,131052.0
2004,1,10,1,518714.0
2004,1,11,1,268614.11
2004,1,12,1,236448.97
2004,1,13,1,643102.49
2004,1,14,1,285489.0
2004,1,15,1,192207.02
2004,1,16,1,1444451.49
2004,1,17,1,3732811.24
2004,1,18,1,607655.14
2004,1,19,1,2612753.07
2004,1,20,1,7976304.95
2004,1,21,1,1596274.29
2004,1,22,1,1132926.27
2004,1,23,1,1780912.48
2004,1,24,1,272917.41
2004,1,25,1,292173.45
2004,1,26,1,630624.0
2004,1,27,1,311459.0
2004,2,1,1,105806.0
2004,2,2,1,33050.33
2004,2,3,1,278429.72
2004,2,4,1,30802.28
2004,2,5,1,967109.34
2004,2,6,1,28944.0
2004,2,7,1,63306.92
2004,2,8,1,694591.8
2004,2,9,1,110758.0
2004,2,10,1,469181.31
2004,2,11,1,233950.88
2004,2,12,1,226289.39
2004,2,13,1,612231.66
2004,2,14,1,266555.0
2004,2,15,1,182026.13
2004,2,16,1,1344183.83
2004,2,17,1,3582369.94
2004,2,18,1,583260.07
2004,2,19,1,2630033.87
2004,2,20,1,7919049.63
2004,2,21,1,1635576.04
2004,2,22,1,1230305.38
2004,2,23,1,1824346.44
2004,2,24,1,270613.42
2004,2,25,1,296942.39
2004,2,26,1,602529.0
2004,2,27,1,285928.0
2004,3,1,1,106668.0
2004,3,2,1,33858.03
2004,3,3,1,270420.0
2004,3,4,1,30275.52
2004,3,5,1,1022952.89
2004,3,6,1,42451.0
2004,3,7,1,67551.25
2004,3,8,1,743086.2
2004,3,9,1,112344.0
2004,3,10,1,508966.11
2004,3,11,1,257966.1
2004,3,12,1,242215.12
2004,3,13,1,658774.05
2004,3,14,1,259855.0
2004,3,15,1,195611.08
2004,3,16,1,1393925.45
2004,3,17,1,3605412.32
2004,3,18,1,599525.0
2004,3,19,1,2582060.82
2004,3,20,1,8116797.54
2004,3,21,1,1656643.76
2004,3,22,1,1300745.9
2004,3,23,1,1941380.74
2004,3,24,1,278720.54
2004,3,25,1,332886.99
2004,3,26,1,622783.0
2004,3,27,1,300453.0
2004,4,1,1,107580.0
2004,4,2,1,34961.02
2004,4,3,1,279044.7
2004,4,4,1,33035.03
2004,4,5,1,1032233.03
2004,4,6,1,40234.0
2004,4,7,1,71774.33
2004,4,8,1,728379.0
2004,4,9,1,123168.0
2004,4,10,1,523200.12
2004,4,11,1,264504.74
2004,4,12,1,235364.14
2004,4,13,1,674646.39
2004,4,14,1,289626.0
2004,4,15,1,204065.06
2004,4,16,1,1419046.03
2004,4,17,1,3668628.56
2004,4,18,1,583307.17
2004,4,19,1,2626340.44
2004,4,20,1,8623046.79
2004,4,21,1,1691910.14
2004,4,22,1,1215161.08
2004,4,23,1,1966239.92
2004,4,24,1,290653.111
2004,4,25,1,353039.55
2004,4,26,1,644083.0
2004,4,27,1,322911.0
2004,5,1,1,112115.8
2004,5,2,1,29766.47
2004,5,3,1,283866.0
2004,5,4,1,28944.36
2004,5,5,1,1057805.52
2004,5,6,1,38522.0
2004,5,7,1,74458.77
2004,5,8,1,751060.16
2004,5,9,1,121261.0
2004,5,10,1,501515.0
2004,5,11,1,258761.56
2004,5,12,1,234298.81
2004,5,13,1,649438.38
2004,5,14,1,284219.0
2004,5,15,1,186831.22
2004,5,16,1,1436199.39
2004,5,17,1,3692795.02
2004,5,18,1,586400.86
2004,5,19,1,2530944.98
2004,5,20,1,8096487.86
2004,5,21,1,1656608.65
2004,5,22,1,1223449.92
2004,5,23,1,1842967.59
2004,5,24,1,267345.28
2004,5,25,1,328933.88
2004,5,26,1,654000.0
2004,5,27,1,315509.0
2004,6,1,1,107816.5
2004,6,2,1,32048.6
2004,6,3,1,285251.0
2004,6,4,1,29531.8
2004,6,5,1,1067141.38
2004,6,6,1,41854.0
2004,6,7,1,77738.63
2004,6,8,1,730462.0
2004,6,9,1,122482.0
2004,6,10,1,511009.0
2004,6,11,1,263985.24
2004,6,12,1,236512.27
2004,6,13,1,642487.26
2004,6,14,1,284384.0
2004,6,15,1,193240.77
2004,6,16,1,1424739.2
2004,6,17,1,3769021.14
2004,6,18,1,571593.44
2004,6,19,1,2366320.42
2004,6,20,1,8191582.41
2004,6,21,1,1621652.0
2004,6,22,1,1160112.93
2004,6,23,1,1774798.63
2004,6,24,1,251956.73
2004,6,25,1,328386.13
2004,6,26,1,687091.0
2004,6,27,1,309763.0
2004,7,1,1,108589.0
2004,7,2,1,33659.7
2004,7,3,1,295884.0
2004,7,4,1,28212.49
2004,7,5,1,1083198.64
2004,7,6,1,40924.0
2004,7,7,1,74534.74
2004,7,8,1,741749.91
2004,7,9,1,120148.2
2004,7,10,1,495416.0
2004,7,11,1,249242.91
2004,7,12,1,235539.26
2004,7,13,1,619249.73
2004,7,14,1,282241.0
2004,7,15,1,197780.39
2004,7,16,1,1434806.72
2004,7,17,1,3739868.62
2004,7,18,1,585851.57
2004,7,19,1,2466119.02
2004,7,20,1,8302446.25
2004,7,21,1,1621327.49
2004,7,22,1,1195777.68
2004,7,23,1,1781687.72
2004,7,24,1,251231.95
2004,7,25,1,353610.68
2004,7,26,1,688157.0
2004,7,27,1,318750.0
2004,8,1,1,110858.0
2004,8,2,1,34837.46
2004,8,3,1,296649.53
2004,8,4,1,28722.61
2004,8,5,1,1138723.5
2004,8,6,1,41429.0
2004,8,7,1,78675.79
2004,8,8,1,757367.1
2004,8,9,1,123974.0
2004,8,10,1,531184.82
2004,8,11,1,262303.05
2004,8,12,1,233748.43
2004,8,13,1,634549.38
2004,8,14,1,281415.0
2004,8,15,1,193385.83
2004,8,16,1,1420586.98
2004,8,17,1,3803148.93
2004,8,18,1,589390.09
2004,8,19,1,2407957.82
2004,8,20,1,8389078.03
2004,8,21,1,1658482.09
2004,8,22,1,1212734.2
2004,8,23,1,1781966.15
2004,8,24,1,270452.77
2004,8,25,1,344131.23
2004,8,26,1,716152.0
2004,8,27,1,314954.0
2004,9,1,1,116058.0
2004,9,2,1,36879.8
2004,9,3,1,308616.48
2004,9,4,1,29796.91
2004,9,5,1,1069492.02
2004,9,6,1,44138.0
2004,9,7,1,82175.33
2004,9,8,1,745555.45
2004,9,9,1,135732.0
2004,9,10,1,564012.76
2004,9,11,1,265269.31
2004,9,12,1,245145.6
2004,9,13,1,681675.94
2004,9,14,1,279917.0
2004,9,15,1,195500.37
2004,9,16,1,1457221.91
2004,9,17,1,3895351.63
2004,9,18,1,598050.52
2004,9,19,1,2494812.2
2004,9,20,1,8605471.39
2004,9,21,1,1696237.39
2004,9,22,1,1190300.78
2004,9,23,1,1767873.41
2004,9,24,1,270627.76
2004,9,25,1,364076.28
2004,9,26,1,750537.0
2004,9,27,1,341926.0
2004,10,1,1,120268.0
2004,10,2,1,36948.04
2004,10,3,1,319945.58
2004,10,4,1,31634.27
2004,10,5,1,1090780.43
2004,10,6,1,46695.0
2004,10,7,1,77895.43
2004,10,8,1,786961.35
2004,10,9,1,135439.0
2004,10,10,1,553697.64
2004,10,11,1,276664.49
2004,10,12,1,253093.51
2004,10,13,1,687210.59
2004,10,14,1,290729.0
2004,10,15,1,200142.81
2004,10,16,1,1473942.6
2004,10,17,1,3885073.22
2004,10,18,1,609691.62
2004,10,19,1,2567499.56
2004,10,20,1,8777612.76
2004,10,21,1,1669722.79
2004,10,22,1,1192551.25
2004,10,23,1,1728423.46
2004,10,24,1,278831.72
2004,10,25,1,362464.59
2004,10,26,1,746582.59
2004,10,27,1,355619.64
2004,11,1,1,119959.0
2004,11,2,1,38066.13
2004,11,3,1,310684.18
2004,11,4,1,33054.71
2004,11,5,1,1097026.84
2004,11,6,1,46641.0
2004,11,7,1,74206.6
2004,11,8,1,745748.48
2004,11,9,1,138289.0
2004,11,10,1,575825.51
2004,11,11,1,293826.36
2004,11,12,1,253953.47
2004,11,13,1,705356.9
2004,11,14,1,289596.0
2004,11,15,1,210695.1
2004,11,16,1,1495174.01
2004,11,17,1,4019478.06
2004,11,18,1,604979.17
2004,11,19,1,2572550.23
2004,11,20,1,8607786.72
2004,11,21,1,1684955.57
2004,11,22,1,1222754.73
2004,11,23,1,1621708.93
2004,11,24,1,272868.24
2004,11,25,1,346869.63
2004,11,26,1,649537.37
2004,11,27,1,335532.11
2004,12,1,1,116378.0
2004,12,2,1,36879.95
2004,12,3,1,321545.42
2004,12,4,1,34181.8
2004,12,5,1,1110612.54
2004,12,6,1,46518.0
2004,12,7,1,74505.15
2004,12,8,1,757937.77
2004,12,9,1,132442.0
2004,12,10,1,575617.59
2004,12,11,1,300457.75
2004,12,12,1,258616.45
2004,12,13,1,730310.7
2004,12,14,1,296464.0
2004,12,15,1,214853.76
2004,12,16,1,1503809.7
2004,12,17,1,3914811.72
2004,12,18,1,614381.18
2004,12,19,1,2677810.94
2004,12,20,1,8543644.11
2004,12,21,1,1683515.15
2004,12,22,1,1221422.93
2004,12,23,1,1760276.28
2004,12,24,1,286730.51
2004,12,25,1,344088.28
2004,12,26,1,658675.73
2004,12,27,1,345619.02
2005,1,1,1,116926.0
2005,1,2,1,36639.0
2005,1,3,1,299782.72
2005,1,4,1,32339.61
2005,1,5,1,1083695.22
2005,1,6,1,46518.0
2005,1,7,1,71638.03
2005,1,8,1,756950.33
2005,1,9,1,136669.0
2005,1,10,1,563304.02
2005,1,11,1,286725.74
2005,1,12,1,261435.67
2005,1,13,1,728644.46
2005,1,14,1,309966.34
2005,1,15,1,210817.91
2005,1,16,1,1520662.46
2005,1,17,1,3824588.18
2005,1,18,1,631196.92
2005,1,19,1,2757857.94
2005,1,20,1,8304845.29
2005,1,21,1,1636130.75
2005,1,22,1,1214278.92
2005,1,23,1,1959006.52
2005,1,24,1,284291.181
2005,1,25,1,311955.86
2005,1,26,1,651985.92
2005,1,27,1,336585.45
2005,2,1,1,109653.0
2005,2,2,1,35531.83
2005,2,3,1,289645.34
2005,2,4,1,31152.73
2005,2,5,1,1035911.59
2005,2,6,1,46420.0
